images_seen,num_widths,amplitude,exponent,log_rmse
10000,3,86.12258566720976,-2.0723355268065657,0.7901727567653581
21544,2,1.3975946744290174e-06,1.6709357238310116,1.2560739669470201e-15
193069,4,43.65745697184831,-1.848850974526804,0.23692267722043212
268269,3,4.629681904338237,-1.0717387594260106,0.21211591409641334
372759,4,1.0537633874026737,-0.6769373958942718,0.28594451937166415
517947,3,1.0886474175207512,-0.701770797656401,0.19570607372816634
719686,4,1.8464719330928732,-0.8932249952450528,0.26253541800217894
1000000,4,1.6677324917903287,-0.9143023169674176,0.08719834189594339
1389495,4,1.0601000408707626,-0.8470371893849634,0.1997034662272472
1930698,4,6.043435946284643,-1.2164308327584803,0.23997935475214052
2682695,4,4.904554134307665,-1.2009549026172788,0.2702722866901518
3727593,3,44.07645089899606,-1.8434511591522313,0.09474631269662763
5000000,4,2.1796271281804223,-1.0814809846329736,0.052056938158408124
