images_seen,num_widths,amplitude,exponent,offset,rmse
10000,5,0.6157822035099346,-0.7029659325075065,1.83361540087063,0.019682140193378463
21544,5,18.08925278282304,0.0009482586140677796,-16.541748039214824,0.01142870041605039
46415,5,93566764.44039696,-5.924435036609152,1.284232134333876,0.020045009903525465
100000,5,1.6245795466765904e-16,5.3469214331815795,0.9037962578266756,0.023146716082565216
138949,5,131774472858761.97,-9.9999999999935,0.6535864817289861,0.028265478987558976
193069,5,42.69676624184754,-1.8614254929791703,0.4924397825337123,0.0013956514165757447
268269,5,0.9853655477465653,-0.5282726751072467,0.30381664023053095,0.017112608705300833
372759,5,4.453228132229749,-1.0626137622379157,0.2563613226889747,0.01430951322764138
517947,5,2.0862121703991736,-0.8166660975616887,0.18763726804139563,0.010384484659035586
719686,5,0.8113851660843518,-0.5933466844616164,0.14628935127274817,0.0061671377100046085
1000000,5,0.4302253110134605,-0.4501996351206948,0.12016237063315778,0.0007045692986624668
1389495,5,0.8607902621577079,-0.7407973986427535,0.12394346994853667,0.002979327721507446
1930698,5,0.6736908909123377,-0.5652903051370414,0.09586433140456194,0.0014196558608085593
2682695,5,0.4615394778672462,-0.45263558384620173,0.07425069651508223,0.006946851996360431
3727593,5,19.031423683294374,-1.614976744147893,0.10352861407597785,0.0028620870323948105
5000000,5,0.8268082187708793,-0.7839329084898852,0.09141745452112965,0.00034838253680718475
