run_id,width,images_seen,step,group_count,mean_loss,std_loss,min_loss,max_loss
exchangeability_cifar5m_sgd_lr04_job19123720,128,719686,5624,4,0.181610107421875,0.014318273976729174,0.1689453125,0.2041015625
exchangeability_cifar5m_sgd_lr04_job19123720,128,1000000,7816,4,0.1674652099609375,0.014513948084482623,0.14385986328125,0.183349609375
exchangeability_cifar5m_sgd_lr04_job19123720,128,1389495,10856,4,0.14324951171875,0.012499248958913321,0.12591552734375,0.15911865234375
exchangeability_cifar5m_sgd_lr04_job19123720,128,1930698,15088,4,0.1400299072265625,0.013682863383684796,0.12396240234375,0.16180419921875
exchangeability_cifar5m_sgd_lr04_job19123720,128,2682695,20960,4,0.11572265625,0.007151669256385732,0.1060791015625,0.12530517578125
exchangeability_cifar5m_sgd_lr04_job19123720,128,3727593,29128,4,0.105712890625,0.00880018166685072,0.09832763671875,0.12066650390625
exchangeability_cifar5m_sgd_lr04_job19123720,128,5000000,39063,4,0.10933274489182693,0.008033673191894566,0.09630408653846154,0.11793870192307693
exchangeability_cifar5m_sgd_lr04_job19123720,256,10000,80,8,1.8492431640625,0.055945904276221314,1.7841796875,1.9365234375
exchangeability_cifar5m_sgd_lr04_job19123720,256,21544,176,8,1.6541748046875,0.07155184454069796,1.548828125,1.796875
exchangeability_cifar5m_sgd_lr04_job19123720,256,46415,368,8,1.252685546875,0.047041913721445554,1.193359375,1.333984375
exchangeability_cifar5m_sgd_lr04_job19123720,256,100000,784,8,0.906494140625,0.08729145538620124,0.75390625,1.04248046875
exchangeability_cifar5m_sgd_lr04_job19123720,256,138949,1088,8,0.63873291015625,0.07134618169188624,0.5458984375,0.7783203125
exchangeability_cifar5m_sgd_lr04_job19123720,256,193069,1512,8,0.4931640625,0.08366555312037502,0.429931640625,0.7001953125
exchangeability_cifar5m_sgd_lr04_job19123720,256,268269,2096,8,0.3279571533203125,0.045116497938658164,0.2801513671875,0.42041015625
exchangeability_cifar5m_sgd_lr04_job19123720,256,372759,2920,8,0.273651123046875,0.03087689771399315,0.2440185546875,0.3455810546875
exchangeability_cifar5m_sgd_lr04_job19123720,256,517947,4048,8,0.19852447509765625,0.018601257144575764,0.1749267578125,0.2344970703125
exchangeability_cifar5m_sgd_lr04_job19123720,256,719686,5624,8,0.181793212890625,0.022656254932797652,0.155029296875,0.2220458984375
exchangeability_cifar5m_sgd_lr04_job19123720,256,1000000,7816,8,0.1558685302734375,0.010108772132355665,0.1387939453125,0.1697998046875
exchangeability_cifar5m_sgd_lr04_job19123720,256,1389495,10856,8,0.142486572265625,0.01569366269628563,0.11993408203125,0.16693115234375
exchangeability_cifar5m_sgd_lr04_job19123720,256,1930698,15088,8,0.12258148193359375,0.009519378111252844,0.11285400390625,0.14239501953125
exchangeability_cifar5m_sgd_lr04_job19123720,256,2682695,20960,8,0.1110076904296875,0.006620609046276169,0.10064697265625,0.1236572265625
exchangeability_cifar5m_sgd_lr04_job19123720,256,3727593,29128,8,0.107391357421875,0.013247406136586426,0.0877685546875,0.1298828125
exchangeability_cifar5m_sgd_lr04_job19123720,256,5000000,39063,8,0.10262709397536057,0.008962809840116874,0.09483924278846154,0.12501878004807693
exchangeability_cifar5m_sgd_lr04_job19123720,512,10000,80,16,1.8486328125,0.05581697575477973,1.7451171875,1.9384765625
exchangeability_cifar5m_sgd_lr04_job19123720,512,21544,176,16,1.639404296875,0.10083421601678896,1.5361328125,1.8857421875
exchangeability_cifar5m_sgd_lr04_job19123720,512,46415,368,16,1.316070556640625,0.09706497004983652,1.15283203125,1.5439453125
exchangeability_cifar5m_sgd_lr04_job19123720,512,100000,784,16,0.95355224609375,0.19130781133627073,0.78125,1.5625
