job_id,width,group_id,member_seed_list,data_seed,target_images_seen,p_targets_images_seen,base_dir,save_dir,wandb_group,experiment_name
12,32,0,"[715001277, 401312319, 436099789, 623759397]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w32/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_32/group_0,exchangeability,exchangeability_w32_g0
32,64,0,"[568167482, 698705502, 725009031, 767380954]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w64/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_64/group_0,exchangeability,exchangeability_w64_g0
0,128,0,"[522738146, 744544402, 70181394, 897048258]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w128/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_128/group_0,exchangeability,exchangeability_w128_g0
4,256,0,"[973040102, 781562453]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w256/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_256/group_0,exchangeability,exchangeability_w256_g0
16,512,0,[913716719],2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w512/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_512/group_0,exchangeability,exchangeability_w512_g0
