images_seen,num_widths,amplitude,exponent,log_rmse
10000,2,0.057058680078234426,-0.6311326821541198,1.2560739669470201e-15
21544,2,2.475203018542903e-20,8.37068740680851,2.230194612005526e-14
46415,3,0.09890791476820332,-0.46299970927811723,0.22039595231220327
100000,2,0.6681530834979668,-1.0422798034925653,1.88411095042053e-15
138949,3,0.050868638063316075,-0.43627799135940476,0.13115870498477505
193069,4,0.31974842106729523,-0.6616020392388362,0.5750002930415895
268269,4,0.07916653391180163,-0.46625862719204836,0.4593191124096733
372759,4,0.45546646699887616,-0.6756855246651541,0.1391117379215858
517947,4,8.210236408831635,-1.518980045495494,0.23874642134249044
719686,4,0.02520697992380112,-0.17647252435689184,1.065606205619483
1000000,3,4.678395317104493,-1.3493656878393558,0.33627622800249296
1389495,2,0.09114268205195093,-0.25787989756849544,6.280369834735101e-16
1930698,2,4.170155097975025,-1.1628146122791239,1.88411095042053e-15
2682695,2,15.52832679877924,-1.342794791293949,1.9100999153570945e-15
3727593,3,19.013188424344033,-1.238816958566969,0.09155032046861278
5000000,3,8.652067725806882,-1.36230386886651,0.4955906049986272
