images_seen,num_widths,amplitude,exponent,offset,rmse
10000,5,0.6223074568082928,-0.0005589496570924811,1.5755237206826662,0.004771975244909973
21544,5,7.745703399234369,0.00017137403020783755,-5.628032249736028,0.006141933492071857
46415,5,11.795881455051905,-0.0006795411786004641,-9.711799734970743,0.0036448765818011025
100000,5,1.0885542435775457,-1.1331721464822777,1.954584796610912,0.0017001571936144345
138949,5,0.07197405301185435,-0.21813767275933837,1.9024104414347436,0.004052297229335504
193069,5,21.128297569433585,-0.0004335817802836574,-19.17929788912859,0.0076588955011942985
268269,5,19.309201792514582,-0.00027097507875087557,-17.421011178329756,0.00442444957970774
372759,5,1.2422855379042388,-0.9282953369575109,1.8115743698637516,0.003296225471949521
517947,5,16.48666748340378,-1.7234761046872553,1.7825126221522412,0.0015880209122099823
719686,5,34004824859581.98,-9.999999999994001,1.7429852005364348,0.00645032837699587
1000000,5,0.3245587850866901,-0.523920153701246,1.686283474619343,0.004580254521943471
1389495,5,0.8131289937819044,-0.7864429403127128,1.620292699836466,0.008727643225803036
1930698,5,9.85377724095851,-1.3753192916271275,1.541270920524983,0.007697759332086732
2682695,5,21.208552714052228,-1.3950667822097507,1.3738313848428279,0.01188106330611433
3727593,5,6.142975789776217,-0.8879493376296241,1.1320390869687016,0.010523304231966887
5000000,5,2536.3811295782484,-2.821093559949974,1.144726057062494,0.032201284956259534
