run_id,width,images_seen,step,group_count,widest_width,widest_loss,mean_loss,delta_loss
exchangeability_job63961088,64,21544,176,4,512,6.632486979166667,6.634765625,0.0022786458333330373
exchangeability_job64077077,128,21544,176,8,512,6.632486979166667,6.6337890625,0.0013020833333330373
exchangeability_job64077103,256,21544,176,8,512,6.632486979166667,6.6328125,0.0003255208333330373
exchangeability_job63961088,64,46415,368,4,512,6.414388020833333,6.4482421875,0.03385416666666696
exchangeability_job64077077,128,46415,368,8,512,6.414388020833333,6.43310546875,0.018717447916666963
exchangeability_job64077103,256,46415,368,8,512,6.414388020833333,6.431640625,0.017252604166666963
exchangeability_job63832312,32,100000,784,4,512,6.132486979166667,6.15625,0.023763020833333037
exchangeability_job63961088,64,100000,784,4,512,6.132486979166667,6.1533203125,0.020833333333333037
exchangeability_job63832312,32,138949,1088,4,512,5.925130208333333,6.0234375,0.09830729166666696
exchangeability_job63961088,64,138949,1088,4,512,5.925130208333333,5.9892578125,0.06412760416666696
exchangeability_job64077077,128,138949,1088,6,512,5.925130208333333,5.947265625,0.022135416666666963
exchangeability_job64077103,256,138949,1088,8,512,5.925130208333333,5.9638671875,0.03873697916666696
exchangeability_job63832312,32,193069,1512,4,512,5.758463541666667,5.8671875,0.10872395833333304
exchangeability_job63961088,64,193069,1512,4,512,5.758463541666667,5.822265625,0.06380208333333304
exchangeability_job64077103,256,193069,1512,8,512,5.758463541666667,5.79345703125,0.03499348958333304
exchangeability_job63832312,32,268269,2096,4,512,5.314778645833333,5.5,0.18522135416666696
exchangeability_job63961088,64,268269,2096,4,512,5.314778645833333,5.3623046875,0.04752604166666696
exchangeability_job64077103,256,268269,2096,8,512,5.314778645833333,5.31787109375,0.0030924479166669627
exchangeability_job63832312,32,372759,2920,4,512,4.918294270833333,5.2734375,0.35514322916666696
exchangeability_job63961088,64,372759,2920,4,512,4.918294270833333,5.064453125,0.14615885416666696
exchangeability_job64077077,128,372759,2920,6,512,4.918294270833333,4.92578125,0.007486979166666963
exchangeability_job63832312,32,517947,4048,4,512,4.367513020833333,4.828125,0.46061197916666696
exchangeability_job63961088,64,517947,4048,4,512,4.367513020833333,4.5322265625,0.16471354166666696
exchangeability_job64077077,128,517947,4048,6,512,4.367513020833333,4.427083333333333,0.0595703125
exchangeability_job64077103,256,517947,4048,8,512,4.367513020833333,4.40869140625,0.04117838541666696
exchangeability_job63832312,32,719686,5624,4,512,3.9772135416666665,4.609375,0.6321614583333335
exchangeability_job63961088,64,719686,5624,4,512,3.9772135416666665,4.28125,0.3040364583333335
exchangeability_job64077077,128,719686,5624,6,512,3.9772135416666665,4.0703125,0.09309895833333348
exchangeability_job64077103,256,719686,5624,8,512,3.9772135416666665,3.9833984375,0.006184895833333481
exchangeability_job63832312,32,1000000,7816,4,512,3.4010416666666665,4.3203125,0.9192708333333335
exchangeability_job63961088,64,1000000,7816,4,512,3.4010416666666665,3.923828125,0.5227864583333335
exchangeability_job64077077,128,1000000,7816,6,512,3.4010416666666665,3.6617838541666665,0.2607421875
exchangeability_job64077103,256,1000000,7816,8,512,3.4010416666666665,3.5068359375,0.10579427083333348
exchangeability_job63832312,32,1389495,10856,4,512,2.9420572916666665,3.99609375,1.0540364583333335
exchangeability_job63961088,64,1389495,10856,4,512,2.9420572916666665,3.56201171875,0.6199544270833335
exchangeability_job64077077,128,1389495,10856,6,512,2.9420572916666665,3.23828125,0.2962239583333335
exchangeability_job64077103,256,1389495,10856,8,512,2.9420572916666665,3.050048828125,0.10799153645833348
exchangeability_job63832312,32,1930698,15088,4,512,2.7327473958333335,3.86328125,1.1305338541666665
exchangeability_job63961088,64,1930698,15088,4,512,2.7327473958333335,3.36328125,0.6305338541666665
exchangeability_job64077077,128,1930698,15088,6,512,2.7327473958333335,3.0651041666666665,0.33235677083333304
exchangeability_job64077103,256,1930698,15088,8,512,2.7327473958333335,2.86669921875,0.13395182291666652
exchangeability_job63832312,32,2682695,20960,4,512,2.3268229166666665,3.5703125,1.2434895833333335
exchangeability_job63961088,64,2682695,20960,4,512,2.3268229166666665,3.05126953125,0.7244466145833335
exchangeability_job64077077,128,2682695,20960,4,512,2.3268229166666665,2.7275390625,0.4007161458333335
exchangeability_job64077103,256,2682695,20960,8,512,2.3268229166666665,2.47021484375,0.14339192708333348
exchangeability_job63832312,32,3727593,29128,4,512,2.3990885416666665,3.67578125,1.2766927083333335
exchangeability_job63961088,64,3727593,29128,4,512,2.3990885416666665,3.15625,0.7571614583333335
exchangeability_job64077077,128,3727593,29128,4,512,2.3990885416666665,2.7861328125,0.3870442708333335
exchangeability_job64077103,256,3727593,29128,8,512,2.3990885416666665,2.5634765625,0.16438802083333348
exchangeability_job63832312,32,5179474,40472,4,512,2.2427571614583335,3.57421875,1.3314615885416665
exchangeability_job63961088,64,5179474,40472,4,512,2.2427571614583335,3.00439453125,0.7616373697916665
exchangeability_job64077077,128,5179474,40472,4,512,2.2427571614583335,2.63916015625,0.3964029947916665
exchangeability_job64077103,256,5179474,40472,8,512,2.2427571614583335,2.396728515625,0.15397135416666652
exchangeability_job63832312,32,7196856,56232,4,512,2.2103678385416665,3.54296875,1.3326009114583335
exchangeability_job63961088,64,7196856,56232,4,512,2.2103678385416665,2.97509765625,0.7647298177083335
exchangeability_job64077077,128,7196856,56232,4,512,2.2103678385416665,2.5986328125,0.3882649739583335
exchangeability_job64077103,256,7196856,56232,8,512,2.2103678385416665,2.364990234375,0.15462239583333348
exchangeability_job63832312,32,10000000,78128,4,512,2.27490234375,3.546875,1.27197265625
exchangeability_job63961088,64,10000000,78128,4,512,2.27490234375,2.998046875,0.72314453125
exchangeability_job64077077,128,10000000,78128,4,512,2.27490234375,2.64013671875,0.365234375
exchangeability_job64077103,256,10000000,78128,8,512,2.27490234375,2.42333984375,0.1484375
