images_seen,num_widths,amplitude,exponent,offset,rmse
10000,4,4.884249285438913e-06,1.0259839915377567,6.8009668710394475,0.0006797681608775593
21544,4,0.03485590842929012,-0.5569412776415001,6.631352559051141,8.667540881746417e-05
46415,4,35.45637349733753,-0.00042012258275892167,-28.947177276457097,0.003336131864918093
100000,5,2.2156624829818337,-1.1163720094616532,6.1140125689150935,0.014700954783688552
138949,5,0.8301754992063213,-0.576682485221105,5.910756550793456,0.011365859807833436
193069,5,12.009949963547184,-1.353154481899966,5.759862730943095,0.02303778968583797
268269,5,288.9606902917452,-2.105454299856988,5.305432445981174,0.015116111239544639
372759,5,36.18536358376225,-1.3049665459323099,4.884603770794155,0.01897131086675087
517947,5,79.55855519835596,-1.4896538457699031,4.372041908475354,0.009065381625631436
719686,5,23.777232338809714,-1.018324374141984,3.916937671711992,0.016496565512820263
1000000,5,10.56319722896377,-0.652800116693223,3.2214128550624164,0.002679919326324601
1389495,5,11.243529366325944,-0.6228711459562734,2.702627281151279,0.010656386640999722
1930698,5,13.037207733193942,-0.6561558247654135,2.519598164450153,0.005066498583389091
2682695,5,11.163729183287796,-0.56539445759803,1.995525326711164,0.008585833130175347
3727593,5,11.840875181256367,-0.5774083286685554,2.076766014699413,0.005727043275122232
5179474,5,14.060375980574706,-0.6238137784051556,1.955576376504913,0.0012283150897023547
7196856,5,14.376959595643251,-0.6308867108514534,1.9291197116184444,0.002339891374535941
10000000,5,14.371590628985759,-0.6474044415318251,2.0229461510916082,0.0026972186688354167
