images_seen,num_widths,amplitude,exponent,log_rmse
21544,3,0.8970320064968565,-1.4036774610293654,0.19485000832025698
46415,3,0.23490320940839907,-0.48625963178894044,0.12047046987472339
100000,2,0.04587922566891684,-0.18982455888002012,3.1401849173675503e-16
138949,4,0.5918072309390522,-0.5565349906257409,0.3531268010838897
193069,3,0.6367206714464319,-0.5291830547188677,0.07181723162352555
268269,3,170.35070528647913,-1.9685233114919805,0.0018157181120768912
372759,3,7788.775298579864,-2.7839367151332675,0.49113317091602837
517947,4,25.086732111409685,-1.1918072025485047,0.17948663366847267
719686,4,1834.8972028977423,-2.1733607318857997,0.50931606684479
1000000,4,36.14076811996657,-1.0361283141174693,0.08482428888831635
1389495,4,52.239087853077734,-1.0926277682274397,0.1197871939006815
1930698,4,40.97386634973802,-1.015549531260686,0.08459735121852817
2682695,4,47.314227413419864,-1.0203374880975902,0.12917916326383302
3727593,4,41.93495099840363,-0.9839805109386535,0.08356517026251246
5179474,4,51.19101983702851,-1.0278967212574994,0.09927900030723906
7196856,4,51.53272312098281,-1.030017931133498,0.09232080116808497
10000000,4,48.584850408097836,-1.028288189656807,0.08464114590385079
